小类编码,小类名称,商品单价
200501,挂面,5.3
201103,凉拌酱油,4.9
120105,鲜调味,6.56
120104,花果,3.16
340201,盒装女内裤,19
120201,豆腐,2
220204,沙琪玛,13.7
152101,新鲜蛋品,6.78
230404,奶茶,3.9
130803,现制烙类,1
120301,柑桔柚类,2
120101,叶菜,12
201404,蔬菜,1.9
220605,鱼类,13.9
300801,洗发水,24.9
220299,其他糕点,9.9
220102,夹心,6.9
220505,腰果,27.9
120104,花果,9.96
220513,香瓜子,2.9
301101,护肤用品,39.9
201404,蔬菜,2.7
200201,牛肉口味,17.3
120106,菌菇类,16.8
200902,功能盐,2.8
200708,干果,31.9
201107,滴醋,3.8
130801,现制蒸类,6
200608,杂粮粉,4.58
120303,梨类,3.18
120309,进口水果,17.6
120102,根茎,5.56
231103,普通高度白酒,10.3
120102,根茎,3.98
120102,根茎,3.96
321803,插座插头,32
120104,花果,7.8
220302,袋装薯片,7.5
120106,菌菇类,18
120105,鲜调味,6.56
120103,芽菜,1.76
151701,猪肉火腿肠,1.9
120101,叶菜,6.56
120101,叶菜,4.98
220107,酥性,19.6
220101,苏打,3.5
230202,纯桃汁,11.9
301301,成人牙膏,6.7
120102,根茎,3.96
301603,无芯纸,15.5
220199,其他饼干,14.5
120104,花果,9.96
152101,新鲜蛋品,6.78
120101,叶菜,5.6
210402,奶茶饮品,3
230705,乳酸菌饮料,7.9
120104,花果,12
220801,无糖口香糖,10.9
120103,芽菜,1.48
150503,冷藏果粒酸乳,8.9
120104,花果,1.8
130801,现制蒸类,6
301603,无芯纸,24.9
200802,80%味精,3.3
200501,挂面,1.7
220102,夹心,18.9
120307,蕉类,5.96
220801,无糖口香糖,5.2
230502,国产矿水,8.3
200907,功能糖,7.7
120301,柑桔柚类,2
201107,滴醋,3.8
130101,凉拌素食,20
220102,夹心,6.9
152101,新鲜蛋品,6.78
220303,罐装薯片,10.8
201103,凉拌酱油,7.9
220607,豆干类,2.5
100101,鲜猪肉,27.8
120101,叶菜,2.56
230404,奶茶,4
152101,新鲜蛋品,6.78
120104,花果,6.56
120102,根茎,4
120501,咸菜干货,2
210402,奶茶饮品,3
220905,黑/纯巧克力,17
220111,趣味/休闲,4.3
220302,袋装薯片,3.3
120102,根茎,3.96
200702,银耳,99
200103,禽肉口味,3
300803,染发用品,24.9
120309,进口水果,15.9
220307,进口膨化,13.9
220513,香瓜子,3.9
231103,普通高度白酒,9
200902,功能盐,2.3
120101,叶菜,5.6
120103,芽菜,1.48
200705,桂圆,19.8
120102,根茎,5.56
120106,菌菇类,9
152101,新鲜蛋品,6.78
200803,鸡精,4.3
120309,进口水果,15.9
230901,国产黄啤,5
120302,苹果类,11.98
220601,牛肉干,10.5
120102,根茎,2.56
152101,新鲜蛋品,19.8
301601,卷筒纸,15.3
300802,润发护发,35.9
301603,无芯纸,17.7
120101,叶菜,2.56
220801,无糖口香糖,5.2
120104,花果,1.98
220513,香瓜子,8.7
120106,菌菇类,6.56
220111,趣味/休闲,4.5
151813,利乐砖乳酸菌,5.3
201102,生抽酱油,8.9
201404,蔬菜,2.7
120102,根茎,2.56
150502,冷藏加味酸乳,14.9
150504,冷藏乳酸菌,11
120302,苹果类,17.8
130101,凉拌素食,20
200101,牛肉口味,3
230703,纯味酸乳饮,4
220513,香瓜子,5.3
201299,其它调味油,6.9
210504,藕/葛藤粉,18.9
200702,银耳,28.9
230304,植物蛋白饮料,5
200301,牛肉口味,4.5
220302,袋装薯片,3.5
220302,袋装薯片,3.7
201101,老抽酱油,7.3
120501,咸菜干货,50
340601,儿童袜,11
120102,根茎,1.8
151199,其它馄饨,7.3
120301,柑桔柚类,2
200603,常规面粉,21.9
231702,进口果汁,6
200601,散称白米,4.2
120313,其它水果,5.96
220103,威化,19.8
220599,其他炒货,35.8
301603,无芯纸,16.9
120301,柑桔柚类,15.98
120303,梨类,3.18
120104,花果,2.58
151799,其它火腿肠,3.3
120104,花果,5.8
201306,甜面/豆瓣酱,5.7
120102,根茎,3.96
151803,利乐砖营养奶,76
220607,豆干类,4
120104,花果,9.6
120102,根茎,3.98
201101,老抽酱油,5.7
120101,叶菜,4.98
120106,菌菇类,9
120102,根茎,3.8
120105,鲜调味,6.56
220801,无糖口香糖,10.9
151813,利乐砖乳酸菌,5.3
120309,进口水果,17.6
220208,散称糕点,39.8
200802,80%味精,3.3
220399,其他膨化点心,2.9
301802,夜用卫生巾,9.9
311204,塑料盆,5
301802,夜用卫生巾,8.9
301802,夜用卫生巾,8.9
301601,卷筒纸,35.9
301603,无芯纸,16.9
220604,蛋类,1.1
120104,花果,9.6
120201,豆腐,2
201002,调和油,71.9
130101,凉拌素食,20
220799,其他糖果,1
230703,纯味酸乳饮,4
120204,豆干豆皮,7.76
301606,手帕纸,9.9
301801,日用卫生巾,9.5
120501,咸菜干货,2
150504,冷藏乳酸菌,9.9
201302,辣酱,7.9
201403,笋类,1.7
150501,冷藏原味酸乳,14.9
220208,散称糕点,25
220201,派,9.9
151301,甜馅包子,6.9
200705,桂圆,17.3
120101,叶菜,2.56
120313,其它水果,7
120104,花果,2.58
200601,散称白米,5.58
120104,花果,4.56
120307,蕉类,5.96
120307,蕉类,5.96
120313,其它水果,5.96
220106,钙奶,3.9
220607,豆干类,5.8
151902,外送甜面包,17.8
230701,果味乳饮,10.7
120101,叶菜,5.8
120204,豆干豆皮,7.76
151902,外送甜面包,17.8
221202,无糖休闲食品,24
301607,盒装面纸,11.7
340201,盒装女内裤,34.9
120101,叶菜,5.8
150404,奶酪,13.8
300801,洗发水,37.9
120101,叶菜,5.56
120104,花果,2.58
230305,混合果汁饮料,6
220606,海苔,5.9
220102,夹心,6.9
120104,花果,1.98
220101,苏打,3.9
301802,夜用卫生巾,4.5
230201,纯柳橙汁,12.3
120102,根茎,6.56
120102,根茎,2.56
220208,散称糕点,33.8
120501,咸菜干货,2
150503,冷藏果粒酸乳,8.9
201501,八宝粥,3.8
130801,现制蒸类,6
150504,冷藏乳酸菌,11
220799,其他糖果,1
230703,纯味酸乳饮,4
120101,叶菜,2.56
120102,根茎,6.56
120102,根茎,7.6
100402,分割鸡件,17.6
120102,根茎,3.96
120104,花果,9
200803,鸡精,4.3
210301,咖啡,15.3
201303,火锅底料,6.7
201303,火锅底料,14.9
120104,花果,1.6
152101,新鲜蛋品,6.78
200301,牛肉口味,4.5
120101,叶菜,5.6
100101,鲜猪肉,29.8
120309,进口水果,17.6
201201,芝麻油,15.3
120104,花果,9.96
201105,香醋,5.9
120201,豆腐,1.5
152101,新鲜蛋品,6.78
151701,猪肉火腿肠,13.3
230901,国产黄啤,3.7
120102,根茎,1.8
120104,花果,1.98
200709,粉丝/条,4.3
100101,鲜猪肉,29.8
220101,苏打,3.5
301802,夜用卫生巾,7.9
120106,菌菇类,9
120102,根茎,3.96
220103,威化,19.8
150508,冷藏营养鲜乳,4.5
120105,鲜调味,3.56
120201,豆腐,2.96
120313,其它水果,23
120101,叶菜,6
200706,红枣,37.8
220603,禽肉,1.2
220711,奶片,3.9
201502,水果罐头,8.5
220104,曲奇,6.7
200607,杂粮,13.8
130102,凉拌荤食,35.6
210503,芝麻糊,18.3
220101,苏打,5.7
220307,进口膨化,13.9
201299,其它调味油,6.9
332204,文具胶带配件,0.5
120102,根茎,16
120313,其它水果,30
201111,料酒,3.9
230401,红茶,2.5
200902,功能盐,2.3
201103,凉拌酱油,5.7
220403,梅,10.5
200902,功能盐,2.3
152101,新鲜蛋品,6.78
220202,蛋糕,11.9
120109,其它蔬菜,7.96
120102,根茎,3.96
151813,利乐砖乳酸菌,5.5
220403,梅,47.8
220302,袋装薯片,6
120101,叶菜,2.56
220401,葡萄干,11.9
120103,芽菜,2.78
220108,粗粮/蔬菜,3.7
110107,贝蛤类,30
120101,叶菜,12
150505,冷藏营养酸乳,8.9
220399,其他膨化点心,3.3
231103,普通高度白酒,15
120104,花果,1.6
120106,菌菇类,6.56
120303,梨类,11.98
200707,蜜枣,17.6
220607,豆干类,2.5
301608,软抽纸巾,9.7
201401,榨菜,1.7
201501,八宝粥,3.2
220104,曲奇,6.7
220302,袋装薯片,3.3
120104,花果,2.58
120104,花果,6.56
210111,中老年奶粉,36.5
201405,腐乳,6.7
120101,叶菜,5.6
120102,根茎,5.8
220599,其他炒货,4.3
120109,其它蔬菜,24
120104,花果,9.6
230101,可乐型,6.9
120101,叶菜,4.98
151103,菜肉馄饨,15.3
120307,蕉类,9.98
200301,牛肉口味,4.5
120313,其它水果,30
200501,挂面,7.9
200505,鸡蛋挂面,7.9
220799,其他糖果,39.8
220512,豆类,19.8
151803,利乐砖营养奶,78
100504,加工鸭肉,1.6
331903,中性笔,2
220606,海苔,2.2
321710,节能光源,18.5
152101,新鲜蛋品,6.78
311706,锅刷,6
220208,散称糕点,69.8
120102,根茎,3.8
342605,手套,7
201302,辣酱,8.9
120104,花果,1.98
200502,杂粮挂面,6.9
301101,护肤用品,39.9
201107,滴醋,3.8
220302,袋装薯片,1.3
220302,袋装薯片,3.5
220302,袋装薯片,3.6
231103,普通高度白酒,7.7
120104,花果,5.8
230102,原味型,2.8
120103,芽菜,1.76
311601,简装保鲜膜,5.5
120101,叶菜,6
220199,其他饼干,39.8
120302,苹果类,7.98
120105,鲜调味,6.56
120102,根茎,4
152101,新鲜蛋品,6.78
220603,禽肉,1.2
200999,其他盐/糖,11.7
200606,豆,13.8
120102,根茎,3.96
120104,花果,5.8
220102,夹心,5.3
220111,趣味/休闲,4.3
120101,叶菜,6
120105,鲜调味,3.56
152101,新鲜蛋品,6.78
120104,花果,7.8
200701,木耳,89.8
120309,进口水果,17.6
120104,花果,9.6
200902,功能盐,2.3
120302,苹果类,11.98
120201,豆腐,2.96
231001,国产干红,139
201303,火锅底料,6.7
151807,利乐枕营养奶,2.8
120104,花果,7.6
201104,其他酱油,9.5
120101,叶菜,5.8
220399,其他膨化点心,2.7
311821,掸尘刷,9
220104,曲奇,6.7
220302,袋装薯片,7.5
200501,挂面,6.7
301603,无芯纸,15.9
120104,花果,2.58
200199,其他袋装面,1.3
220606,海苔,26.9
120102,根茎,3.98
200105,干脆面,0.5
100101,鲜猪肉,27.8
120101,叶菜,5.8
120303,梨类,3.18
201101,老抽酱油,9.9
120101,叶菜,12
200101,牛肉口味,2.5
130201,卤制畜类,76
200102,猪肉口味,3
120101,叶菜,5.56
130101,凉拌素食,20
150503,冷藏果粒酸乳,4.9
120101,叶菜,5.8
120101,叶菜,1.96
120104,花果,12
150504,冷藏乳酸菌,11
220302,袋装薯片,4
120303,梨类,15.96
201505,肉类罐头,15.5
301301,成人牙膏,8
120301,柑桔柚类,10
100101,鲜猪肉,27.8
201306,甜面/豆瓣酱,6.9
120104,花果,5.8
120105,鲜调味,6.56
200902,功能盐,3.2
200101,牛肉口味,3.5
120313,其它水果,5.96
230306,柠檬汁饮料,4.5
220603,禽肉,5.5
120302,苹果类,17.8
230604,健康机能饮料,6
152101,新鲜蛋品,6.78
120104,花果,9.96
120104,花果,9.6
120102,根茎,3.96
341506,花色面巾,16
230202,纯桃汁,11.9
300604,洗衣皂,4.7
301206,化妆品工具,18.9
230203,纯苹果汁,12.3
200902,功能盐,2.3
200607,杂粮,6.98
120307,蕉类,5.96
120501,咸菜干货,2
130801,现制蒸类,0.5
220302,袋装薯片,4
220201,派,7.7
120106,菌菇类,9
301608,软抽纸巾,8.9
120101,叶菜,1.96
120205,豆类料理,12
120104,花果,1.98
120107,有机蔬菜,5
230601,咖啡饮料,5
201107,滴醋,4.2
120104,花果,5.8
120104,花果,1.98
220711,奶片,3.9
100101,鲜猪肉,29.8
130101,凉拌素食,20
201102,生抽酱油,6.7
220103,威化,19.8
120104,花果,7.8
120104,花果,1.98
221101,进口休闲食品,12.9
301801,日用卫生巾,8
150504,冷藏乳酸菌,11
220201,派,3.7
220208,散称糕点,33.8
150802,冷冻年糕,6.7
120301,柑桔柚类,10
230705,乳酸菌饮料,7.9
231099,其他葡萄果酒,25.3
120102,根茎,2.56
201111,料酒,3.9
221101,进口休闲食品,10
220201,派,9.9
220201,派,7.3
220202,蛋糕,5.9
120102,根茎,2.56
120104,花果,12
120201,豆腐,2
152101,新鲜蛋品,6.78
220302,袋装薯片,1.3
220515,南瓜子,8.3
220699,其他即食熟制品,60
301106,手足保养品,12
200501,挂面,9.9
130801,现制蒸类,6
120101,叶菜,6
120102,根茎,3.96
201405,腐乳,6.3
151701,猪肉火腿肠,13.3
120106,菌菇类,9
120301,柑桔柚类,2
220703,软糖,2
201401,榨菜,0.5
220302,袋装薯片,4
220406,地瓜,5.9
120104,花果,9.6
120102,根茎,2.56
220503,去壳花生,3.7
301601,卷筒纸,15.3
120101,叶菜,6.56
151801,利乐砖纯奶,3
120104,花果,2.58
331904,荧光笔,6
120104,花果,1.6
120101,叶菜,2.56
201405,腐乳,6.7
120301,柑桔柚类,2
120302,苹果类,11.98
220502,带壳花生,11.8
120102,根茎,3.96
301608,软抽纸巾,8.9
201303,火锅底料,9.5
151701,猪肉火腿肠,16.3
230599,其他水,3
301608,软抽纸巾,9.7
220102,夹心,5.3
120104,花果,1.98
120302,苹果类,11.98
120104,花果,9
151503,火锅丸类,32.6
120102,根茎,2.56
301106,手足保养品,8.9
100101,鲜猪肉,29.8
322701,干电池,4.5
301802,夜用卫生巾,8.9
220302,袋装薯片,3.3
120201,豆腐,1.5
151806,利乐枕加味奶,2.8
152101,新鲜蛋品,6.78
220302,袋装薯片,4
301802,夜用卫生巾,8.9
301805,套装卫生巾,11.9
200903,绵白糖,6.8
120204,豆干豆皮,7.76
200903,绵白糖,6.8
201107,滴醋,4.8
120104,花果,9.6
220405,山楂,6.9
220202,蛋糕,5.9
120101,叶菜,2.56
120104,花果,1.98
120103,芽菜,1.76
200101,牛肉口味,3.5
200501,挂面,5.3
200602,袋装白米,41.9
200603,常规面粉,25.9
150505,冷藏营养酸乳,9.9
301608,软抽纸巾,9.7
301603,无芯纸,24.9
120107,有机蔬菜,5
220106,钙奶,2.9
120101,叶菜,2.56
201302,辣酱,14.9
120104,花果,9.6
151813,利乐砖乳酸菌,5.5
201401,榨菜,1.9
220607,豆干类,4
151299,其它汤圆,14.3
120102,根茎,3.96
200601,散称白米,4.2
150502,冷藏加味酸乳,11.9
200708,干果,20.3
120301,柑桔柚类,2
200501,挂面,6.7
200906,冰糖,5.9
151301,甜馅包子,7.9
120102,根茎,3.96
120101,叶菜,4.98
120102,根茎,1.96
120303,梨类,3.18
130801,现制蒸类,0.5
200102,猪肉口味,3
200104,海鲜口味,3
201306,甜面/豆瓣酱,2
120309,进口水果,17.6
120104,花果,5.8
120104,花果,9.6
120305,瓜类,19.8
130101,凉拌素食,20
120201,豆腐,1.5
130101,凉拌素食,20
120103,芽菜,1.48
120104,花果,1.8
120101,叶菜,5.6
120102,根茎,3.96
120102,根茎,7.6
200702,银耳,99
301603,无芯纸,16.9
220504,开心果,105.8
150504,冷藏乳酸菌,9.9
220904,牛奶巧克力,13.5
150507,冷藏低脂鲜乳,11.9
230703,纯味酸乳饮,60
120101,叶菜,6.56
120102,根茎,2.56
120105,鲜调味,3.56
220512,豆类,19.8
200803,鸡精,7.3
120204,豆干豆皮,9.96
151503,火锅丸类,32.6
130101,凉拌素食,20
120302,苹果类,11.98
120101,叶菜,5.6
220302,袋装薯片,2.9
201201,芝麻油,13.9
220299,其他糕点,6.9
301101,护肤用品,7.9
220208,散称糕点,19
300801,洗发水,20.9
200602,袋装白米,36.9
220802,有糖口香糖,5.9
200601,散称白米,4.2
220599,其他炒货,21.9
300802,润发护发,8.9
120102,根茎,5.56
150506,冷藏原味鲜乳,12.8
120302,苹果类,4.98
301501,安全套,16
231702,进口果汁,4.8
120302,苹果类,4.98
120313,其它水果,30
120101,叶菜,3.96
220902,夹心巧克力,3.5
150501,冷藏原味酸乳,3.9
220399,其他膨化点心,2.7
220799,其他糖果,39.8
220305,粟米类,2.9
100102,猪下水,31
151304,原味馒头,4.3
311704,抹布,26
220403,梅,4.5
200709,粉丝/条,4.3
120302,苹果类,11.98
120104,花果,7.6
150501,冷藏原味酸乳,10.9
301608,软抽纸巾,6.9
120309,进口水果,17.6
311002,果皮刀,6
220208,散称糕点,39.8
120303,梨类,11.98
301802,夜用卫生巾,7.9
200705,桂圆,19.8
200199,其他袋装面,1.3
220106,钙奶,4.7
120101,叶菜,6.56
120102,根茎,2.56
120102,根茎,2.56
120102,根茎,5
200501,挂面,8.2
120301,柑桔柚类,15.98
151099,其它水饺,5.3
201106,陈醋,6.9
230901,国产黄啤,4.5
120102,根茎,3.8
120105,鲜调味,5.98
201404,蔬菜,2.7
220905,黑/纯巧克力,7.9
200301,牛肉口味,5.5
120101,叶菜,1.96
130801,现制蒸类,6
220110,简装/压缩,2.7
120303,梨类,4
230102,原味型,4.9
200103,禽肉口味,3
200903,绵白糖,6.8
220602,猪肉干,13.9
120102,根茎,1.8
120101,叶菜,5.8
120102,根茎,4
120102,根茎,2.56
120102,根茎,3.96
201107,滴醋,3.8
200805,香辛粉,12.9
120101,叶菜,6
220599,其他炒货,64
301608,软抽纸巾,9.7
332103,橡皮,1.7
201306,甜面/豆瓣酱,3.7
120109,其它蔬菜,2
120201,豆腐,2
300801,洗发水,45.9
120104,花果,9.96
120104,花果,1.8
220208,散称糕点,25.8
120103,芽菜,1.48
120101,叶菜,12
150506,冷藏原味鲜乳,15.9
301603,无芯纸,14.5
300202,洁厕剂,9.9
120303,梨类,11.98
120101,叶菜,1.96
120307,蕉类,5.96
120104,花果,3.16
120105,鲜调味,5.98
150501,冷藏原味酸乳,6.5
200701,木耳,89.8
130201,卤制畜类,90
130101,凉拌素食,20
120104,花果,5.8
120301,柑桔柚类,10
230703,纯味酸乳饮,3.5
120103,芽菜,1.48
301301,成人牙膏,15.9
220799,其他糖果,49.8
220399,其他膨化点心,2.9
301802,夜用卫生巾,9.9
220208,散称糕点,23.8
311901,皂盒,5
301406,棉棒/棉球,1.7
120102,根茎,3.96
301606,手帕纸,6.9
200301,牛肉口味,3.9
151806,利乐枕加味奶,2.8
332399,其他本类,2
151503,火锅丸类,32.6
120101,叶菜,1.96
200601,散称白米,4.2
200709,粉丝/条,5.7
220306,综合包,33.9
120101,叶菜,2.56
120201,豆腐,2.96
220106,钙奶,3.7
220904,牛奶巧克力,16.5
220402,枣,49.8
220599,其他炒货,43.8
150501,冷藏原味酸乳,11.9
151299,其它汤圆,14.3
220102,夹心,4.3
220302,袋装薯片,6
120102,根茎,4
340301,盒装男内裤,34.9
151810,百利包加味奶,2
120201,豆腐,2.96
120102,根茎,3.96
120309,进口水果,17.6
120102,根茎,3.96
151805,利乐枕纯奶,2.7
120109,其它蔬菜,2
100101,鲜猪肉,29.8
220513,香瓜子,8.7
120101,叶菜,12
301104,唇部保养品,11.9
210301,咖啡,9.9
120102,根茎,3.96
151701,猪肉火腿肠,16.3
120307,蕉类,5.96
152101,新鲜蛋品,19.2
200202,猪肉口味,21.8
210507,冲调食品礼盒,118.9
311204,塑料盆,5
120101,叶菜,5.6
120102,根茎,3.96
120201,豆腐,1.5
120105,鲜调味,5.98
120101,叶菜,5.8
120501,咸菜干货,50
210402,奶茶饮品,3.2
301004,婴幼儿护肤用品,1.5
120303,梨类,11.98
220199,其他饼干,59.8
220402,枣,9.5
201401,榨菜,1
120107,有机蔬菜,5
300701,香皂,4.9
120104,花果,4.98
120205,豆类料理,21.6
120102,根茎,4
120204,豆干豆皮,6.96
120101,叶菜,5.6
120102,根茎,3.96
220302,袋装薯片,3.5
150801,冷冻面食,18.9
200809,淀/酵/碱粉,2.9
120201,豆腐,2.96
150504,冷藏乳酸菌,13.5
200606,豆,13.8
120307,蕉类,5.96
210301,咖啡,9.9
220405,山楂,7.5
220513,香瓜子,13.8
230203,纯苹果汁,12.3
152101,新鲜蛋品,6.78
120102,根茎,2.56
201112,槽/醉料,6.9
120201,豆腐,2.96
150504,冷藏乳酸菌,11
120301,柑桔柚类,10
120302,苹果类,17.8
201501,八宝粥,3.2
220403,梅,10.9
220302,袋装薯片,7.5
200709,粉丝/条,4.3
220405,山楂,25.8
220113,进口饼干,17.9
301101,护肤用品,108
120302,苹果类,11.98
151813,利乐砖乳酸菌,5.5
120106,菌菇类,18
120309,进口水果,17.6
120204,豆干豆皮,7.76
120102,根茎,3.96
120101,叶菜,5.8
201301,番茄酱,4.9
220102,夹心,5.3
151902,外送甜面包,17.8
120101,叶菜,12
120102,根茎,1.8
220302,袋装薯片,3.5
201002,调和油,59.9
152101,新鲜蛋品,6.78
120105,鲜调味,5.98
152101,新鲜蛋品,6.78
220102,夹心,5.3
120102,根茎,3.8
200709,粉丝/条,5.7
120101,叶菜,5.6
220709,玩具糖,1
300801,洗发水,45.9
301604,餐巾纸,1.3
220106,钙奶,2.7
120102,根茎,3.96
120101,叶菜,5.56
120107,有机蔬菜,5
200703,菇类,124
120307,蕉类,5.96
201302,辣酱,7.9
120307,蕉类,5.96
120101,叶菜,5.8
151803,利乐砖营养奶,76
300602,洗衣液,16.9
120104,花果,5.8
120104,花果,1.98
120101,叶菜,6.56
120102,根茎,5
120501,咸菜干货,2
201405,腐乳,7.7
220399,其他膨化点心,2.7
120104,花果,5.8
120201,豆腐,2.96
151803,利乐砖营养奶,76
100604,腌腊香肠,39.8
120105,鲜调味,5.98
150503,冷藏果粒酸乳,5.6
300206,餐具清洁剂,15.7
120106,菌菇类,9
120309,进口水果,17.6
301101,护肤用品,15.9
200301,牛肉口味,5.7
152101,新鲜蛋品,6.78
120303,梨类,3.18
120501,咸菜干货,50
220904,牛奶巧克力,5
120301,柑桔柚类,2
220502,带壳花生,11.8
300604,洗衣皂,2
220106,钙奶,3.9
120104,花果,1.8
201201,芝麻油,24.9
120301,柑桔柚类,2
120101,叶菜,1.96
100402,分割鸡件,35.8
120101,叶菜,5.6
220102,夹心,5.3
120501,咸菜干货,2
120105,鲜调味,5.98
120309,进口水果,20
120105,鲜调味,5.98
120101,叶菜,5.56
120106,菌菇类,9
200906,冰糖,9.5
152101,新鲜蛋品,6.78
301804,卫生护垫,8.9
100101,鲜猪肉,27.8
200606,豆,13.8
200607,杂粮,14.9
300606,衣物柔顺剂,19.9
120102,根茎,3.96
200804,其他鲜味精,8.2
201302,辣酱,7.9
200608,杂粮粉,4.4
200805,香辛粉,2.7
120303,梨类,3.18
120301,柑桔柚类,10
220101,苏打,3.2
300602,洗衣液,16.9
210402,奶茶饮品,4.9
201103,凉拌酱油,6.9
200603,常规面粉,17.9
151805,利乐枕纯奶,2.7
201404,蔬菜,5.9
220305,粟米类,2.9
120102,根茎,4
201307,芝/花生调酱,7.7
120201,豆腐,2.96
120104,花果,2.58
120102,根茎,7.96
120104,花果,5.6
201109,白醋,2.9
300602,洗衣液,16.9
100104,猪骨,41.8
120102,根茎,5
200902,功能盐,2.3
120101,叶菜,12
120102,根茎,2.56
120104,花果,6.56
200501,挂面,6.7
301609,湿巾纸,3.9
220905,黑/纯巧克力,47
120104,花果,12
120101,叶菜,5.8
301603,无芯纸,15.5
120303,梨类,4
120101,叶菜,5.6
120102,根茎,1.8
220499,其他蜜饯,29.8
220503,去壳花生,7.2
151899,其他常温乳品,10.8
220699,其他即食熟制品,2.7
150305,冷藏面食类,5.7
120106,菌菇类,16.8
120102,根茎,7.6
201502,水果罐头,14.9
150506,冷藏原味鲜乳,12.8
120104,花果,1.8
120105,鲜调味,6.56
301603,无芯纸,16.9
301106,手足保养品,10.9
220710,棒糖,0.5
151701,猪肉火腿肠,13.3
220205,中式糕点,25
151805,利乐枕纯奶,2.7
120104,花果,9.6
120104,花果,6.56
200201,牛肉口味,14.7
120305,瓜类,19.8
201107,滴醋,4.2
221003,杯装果冻,4.5
150503,冷藏果粒酸乳,8.9
150503,冷藏果粒酸乳,8.9
200301,牛肉口味,5.7
120309,进口水果,15.9
151801,利乐砖纯奶,65
200704,蔬菜,70
301301,成人牙膏,8.9
220405,山楂,9.5
120301,柑桔柚类,2
120101,叶菜,2.56
220202,蛋糕,51.6
210501,麦片/粉,17.3
201001,大豆油,75.9
151802,利乐砖加味奶,4.9
301608,软抽纸巾,9.7
210301,咖啡,9.9
152101,新鲜蛋品,8.5
120104,花果,1.98
120106,菌菇类,9
120107,有机蔬菜,5
120205,豆类料理,21.6
300604,洗衣皂,8.9
301602,平板纸,3.7
200811,即食汤料,11.9
201501,八宝粥,3.2
200501,挂面,6.9
120102,根茎,3.98
120309,进口水果,17.6
120101,叶菜,12
120307,蕉类,5.96
120101,叶菜,1.96
150802,冷冻年糕,6.7
300102,家用清洁剂,9.9
310901,微波/保鲜盒,9
220702,奶糖,47.8
120302,苹果类,11.98
332202,液体胶,2.7
100101,鲜猪肉,27.8
120104,花果,5.8
301101,护肤用品,2.9
201404,蔬菜,6.9
231702,进口果汁,7.3
201401,榨菜,3.9
120104,花果,7.6
120104,花果,7.6
120201,豆腐,2
201111,料酒,12.9
120109,其它蔬菜,7.96
130801,现制蒸类,0.5
220403,梅,4.7
120102,根茎,3.96
120102,根茎,3.96
220702,奶糖,7.9
220801,无糖口香糖,11
220513,香瓜子,13.8
220799,其他糖果,39.8
210503,芝麻糊,20.3
120101,叶菜,6
120104,花果,2.58
120101,叶菜,12
120106,菌菇类,18
150502,冷藏加味酸乳,2.3
220599,其他炒货,35.8
230304,植物蛋白饮料,3.8
220302,袋装薯片,4
312601,粘钩,5.5
220202,蛋糕,51.6
220513,香瓜子,8.7
220701,硬糖,6.9
120105,鲜调味,5.98
200709,粉丝/条,6.8
201199,其他液体调料,3.9
150506,冷藏原味鲜乳,12.8
300206,餐具清洁剂,4.3
201401,榨菜,1
220399,其他膨化点心,2.9
120302,苹果类,11.98
120101,叶菜,12
152101,新鲜蛋品,6.78
120101,叶菜,6
120104,花果,2.58
120102,根茎,3.8
150101,香肠类,2
150504,冷藏乳酸菌,8
300701,香皂,4.7
120106,菌菇类,9
200607,杂粮,15.8
220108,粗粮/蔬菜,19.7
151901,外送咸面包,2.3
120309,进口水果,17.6
151501,肉片/串类,13.3
151099,其它水饺,10.3
151902,外送甜面包,4.3
200606,豆,11.9
220304,薯条,5.9
220101,苏打,3.9
120204,豆干豆皮,9.96
220515,南瓜子,12.9
150504,冷藏乳酸菌,9.9
201299,其它调味油,5.5
120302,苹果类,11.98
301406,棉棒/棉球,4.9
343106,童布/绒面拖鞋,33
120104,花果,5.8
120106,菌菇类,9
152101,新鲜蛋品,6.78
220513,香瓜子,8.7
200704,蔬菜,70
152101,新鲜蛋品,6.78
120106,菌菇类,9
221202,无糖休闲食品,24
200709,粉丝/条,4.3
120501,咸菜干货,50
301303,成人牙刷,15.7
300602,洗衣液,32.9
120106,菌菇类,9
201301,番茄酱,4.9
120201,豆腐,2
230399,其他果汁饮料,20.7
120102,根茎,4
301603,无芯纸,24.9
301102,洁面乳,23.9
151701,猪肉火腿肠,16.3
151003,菜肉水饺,24.7
120301,柑桔柚类,2
151304,原味馒头,4.3
200607,杂粮,6.9
120104,花果,1.98
300802,润发护发,6.9
301301,成人牙膏,3.9
200803,鸡精,4.3
200702,银耳,25.9
120102,根茎,2.56
220107,酥性,19.6
220302,袋装薯片,3.3
343104,男布/绒面拖鞋,27
120101,叶菜,4.98
120309,进口水果,17.6
331504,彩泥,19
152101,新鲜蛋品,6.78
300606,衣物柔顺剂,16.9
200607,杂粮,8.9
150101,香肠类,2
220703,软糖,1
150504,冷藏乳酸菌,12.9
120104,花果,9.6
151813,利乐砖乳酸菌,5.3
120106,菌菇类,9
220208,散称糕点,29.8
120201,豆腐,2
120104,花果,5.6
220106,钙奶,2.9
120104,花果,1.98
201401,榨菜,1.7
301301,成人牙膏,13.9
120101,叶菜,5.8
120106,菌菇类,6.56
311801,手套,8
150505,冷藏营养酸乳,4.5
200502,杂粮挂面,6.9
